t,count
1616104137,0
1616104138,0
1616104139,0
1616104140,0
1616104141,0
1616104142,0
1616104143,0
1616104144,0
1616104145,0
1616104146,0
1616104147,0
1616104148,0
1616104149,0
1616104150,0
1616104151,0
1616104152,0
1616104153,0
1616104154,0
1616104155,0
1616104156,0
1616104157,0
1616104158,0
1616104159,0
1616104160,0
1616104161,0
1616104162,0
1616104163,0
1616104164,0
1616104165,0
1616104166,0
1616104167,0
1616104168,0
1616104169,0
1616104170,0
1616104171,0
1616104172,0
1616104173,0
1616104174,0
1616104175,0
1616104176,0
1616104177,0
1616104178,0
1648147352,0
1648147353,0
1648147354,0
1648147355,0
1648147356,0
1648147357,0
1648147358,0
1648147359,0
1648147405,0
1648147406,0
1648148305,0
1648148306,0
1648148307,0
1648148308,0
1648148309,0
1648148310,0
1648148311,0
1648148312,0
1648148683,0
1648148684,0
1648148685,0
1648148686,0
1648148712,0
1648149154,0
1648149155,0
1648149156,0
1648149157,0
1648149158,0
1648149159,0
1648149160,0
1648149161,0
1648149253,0
1648149254,0
1648149255,0
1648149256,0
1648149257,0
1648149258,0
1648149259,0
1648161690,0
1648161691,0
1648161692,0
1648161712,0
1648161713,0
1648161714,0
1648161715,0
1648161994,0
1648161995,0
1648161996,0
1648161997,0
1648161998,0
1648161999,0
1648162000,0
1648162001,0
1648162010,0
1648162011,0
1648162012,0
1648162013,0
1648162014,0
1648162015,0
1648162016,0
1648162017,0
1648162018,0
1648162019,0
1648162020,0
1648162021,0
1648162022,0
1648162023,0
1648162024,0
1648162025,0
1648162026,0
1648162027,0
1648162028,0
1648162029,0
1648162214,0
1648162215,0
1648162216,0
1648162217,0
1648162218,0
1648162219,0
1648162220,0
1648162221,0
1648162222,0
1648162223,0
1648162224,0
1648162225,0
1648162226,0
1648162227,0
1648162228,0
1648162229,0
1648162230,0
1648162231,0
1648162232,0
1648162233,0
1648162234,0
1648162235,0
1648162236,0
1648162237,0
1648162238,0
1648162239,0
1648162240,0
1648162241,0
1648162242,0
1648162243,0
1648162244,0
1648162245,0
1648162246,0
1648162247,0
1648162248,0
1648162249,0
1648162250,0
1648162251,0
1648162252,0
1648162253,0
1648162254,0
1648162255,0
1648162256,0
1648162257,0
1648162262,0
1648162319,0
1648162320,0
1648162321,0
1648162322,0
1648162323,0
1648162324,0
1648162325,0
1648162326,0
1648162327,0
1648162328,0
1648162329,0
1648162330,0
1648162331,0
1648162332,0
1648162394,-12
1648162395,-12
1648162523,-12
1648162524,-12
1648162525,-12
1648162526,-12
1648162527,-12
1648162528,-12
1648162529,-12
1648162530,-12
1648162531,-12
1648162532,-12
1648162533,-12
1648162534,-12
1648162535,-12
1648162536,-12
1648162537,-12
1648162538,-12
1648162539,-12
1648162540,-12
1648162541,-12
1648162542,-12
1648162543,-12
1648162544,-12
1648162545,-12
1648162546,-12
1648162547,-12
1648162548,-12
1648162549,-12
1648162550,-12
1648162551,-12
1648162552,-12
1648162553,-12
1648162554,-12
1648162555,-12
1648162556,-12
1648162557,-12
1648162558,-12
1648162559,-12
1648162560,-12
1648162561,-12
1648162562,-12
1648162563,-12
1648162564,-12
1648162565,-12
1648162566,-12
1648162567,-12
1648162568,-12
1648162569,-12
1648162570,-12
1648162571,-12
1648162572,-12
1648162573,-12
1648162574,-12
1648162575,-12
1648162576,-12
1648162577,-12
1648162578,-12
1648162579,-12
1648162580,-12
1648162581,-12
1648162582,-12
1648162583,-12
1648162584,-12
1648162585,-12
1648162586,-12
1648162587,-12
1648162588,-12
1648162589,-12
1648162590,-12
1648162591,-12
1648162592,-12
1648162593,-12
1648162594,-12
1648162595,-12
1648162596,-12
1648162597,-12
1648162598,-12
1648162599,-12
1648162600,-12
1648162601,-12
1648162602,-12
1648162603,-12
1648162604,-12
1648162605,-12
1648162606,-12
1648162607,-12
1648162608,-12
1648162609,-12
1648162610,-12
1648162611,-12
1648162612,-12
1648162613,-12
1648162614,-12
1648162615,-12
1648162616,-12
1648162617,-12
1648162618,-12
1648162619,-12
1648162620,-12
1648162621,-12
1648162622,-12
1648162623,-12
1648162624,-12
1648162625,-12
1648162626,-12
1648162627,-12
1648162628,-12
1648162629,-12
1648162630,-12
1648162631,-12
1648162632,-12
1648162633,-12
1648162634,-12
1648162635,-12
1648162636,-12
1648162637,-12
1648162638,-12
1648162639,-12
1648162640,-12
1648162641,-12
1648162642,-12
1648162643,-12
1648162644,-12
1648162645,-12
1648162646,-12
1648162647,-12
1648162648,-12
1648162649,-12
1648162650,-12
1648162651,-12
1648162652,-12
1648162653,-12
1648162654,-12
